Year,GEO_ID,UrbanCode,UrbanName,UrbanTypeDescription,UrbanTypeCode,TotalPopulationEstimate
2013,400C100US32248,32248,Galax,VA Urban Cluster (2010),C,5954
2013,400C100US36190,36190,Hagerstown,MD--WV--PA Urbanized Area (2010),U,185647
2013,400C100US37162,37162,Harrisonburg,VA Urbanized Area (2010),U,68237
2013,400C100US46909,46909,Lake Monticello,VA Urban Cluster (2010),C,8715
2013,400C100US46972,46972,Lake of the Woods,VA Urban Cluster (2010),C,9588
2013,400C100US52093,52093,Luray,VA Urban Cluster (2010),C,4674
2013,400C100US52201,52201,Lynchburg,VA Urbanized Area (2010),U,119246
2013,400C100US55252,55252,Martinsville,VA Urban Cluster (2010),C,34490
2013,400C100US65674,65674,Orange,VA Urban Cluster (2010),C,4564
2013,400C100US74584,74584,Richlands,VA Urban Cluster (2010),C,9752
2013,400C100US74746,74746,Richmond,VA Urbanized Area (2010),U,963521
2013,400C100US84630,84630,Staunton--Waynesboro,VA Urbanized Area (2010),U,55754
2013,400C100US72694,72694,Pulaski,VA Urban Cluster (2010),C,16279
2013,400C100US72856,72856,Purcellville,VA Urban Cluster (2010),C,11971
2013,400C100US75421,75421,Roanoke,VA Urbanized Area (2010),U,211395
2013,400C100US85195,85195,Strasburg,VA Urban Cluster (2010),C,6903
2013,400C100US90892,90892,Virginia Beach,VA Urbanized Area (2010),U,1447320
2013,400C100US29332,29332,Farmville,VA Urban Cluster (2010),C,8442
2013,400C100US83143,83143,South Boston,VA Urban Cluster (2010),C,8057
2013,400C100US83278,83278,South Hill,VA Urban Cluster (2010),C,4443
2013,400C100US86815,86815,Tazewell,VA Urban Cluster (2010),C,4777
2013,400C100US31438,31438,Franklin,VA Urban Cluster (2010),C,8897
2013,400C100US31600,31600,Fredericksburg,VA Urbanized Area (2010),U,145739
2013,400C100US31924,31924,Front Royal,VA Urban Cluster (2010),C,18625
2013,400C100US54712,54712,Marion,VA Urban Cluster (2010),C,7910
